Song,Artist,Release Date,Issue Date,Weeks,Avs.
Sunflower,Post MalonefeaturingSwae Lee,18-Oct-18,17-Jan-19,2,33.6
7 Rings,Ariana Grande,18-Jan-19,24-Jan-19,10,47.9
Bad Guy,Billie Eilish,29-Mar-19,04-Apr-19,6[F],42.6
I Don't Care,Ed SheeranfeaturingJustin Bieber,10-May-19,16-May-19,6[G],44
Señorita ‡,Shawn MendesfeaturingCamila Cabello,21-Jun-19,27-Jun-19,11,56.9
Circles,Post Malone,30-Aug-19,12-Sep-19,1,43.4
Señorita ‡(2),Shawn MendesfeaturingCamila Cabello,21-Jun-19,19-Sep-19,3,38.7
Highest in the Room,Travis Scott,04-Oct-19,10-Oct-19,1,48.2
Dance Monkey,Tones and I,10-May-19,17-Oct-19,2,42.9
Lose You to Love Me,Selena Gomez,23-Oct-19,31-Oct-19,1,47.2
Dance Monkey(2),Tones and I,10-May-19,07-Nov-19,14,46.9
The Box,Roddy Ricch,06-Dec-19,13-Feb-20,1,46.2
Dance Monkey(3),Tones and I,10-May-19,20-Feb-20,1,43.7
Blinding Lights ‡,The Weeknd,29-Nov-19,27-Feb-20,9,44.2
The Scotts,The Scotts,23-Apr-20,30-Apr-20,1,48.4
Blinding Lights ‡(2),The Weeknd,29-Nov-19,07-May-20,3,37.8
Rain on Me,Lady GagafeaturingAriana Grande,22-May-20,28-May-20,1,41.6
Rockstar,DaBabyfeaturingRoddy Ricch,17-Apr-20,04-Jun-20,2,38
Blinding Lights ‡(3),The Weeknd,29-Nov-19,18-Jun-20,1,34.4
Rockstar(2),DaBabyfeaturingRoddy Ricch,17-Apr-20,25-Jun-20,5,37.1
Cardigan,Taylor Swift,24-Jul-20,30-Jul-20,1,35.7
Savage Love (Laxed – Siren Beat),Jawsh 685featuringJason Derulo,11-Jun-20,06-Aug-20,2,32.2
WAP,Cardi BfeaturingMegan Thee Stallion,07-Aug-20,20-Aug-20,5,46
Mood,24kGoldnfeaturingIann Dior,24-Jul-20,24-Sep-20,5,38.3
Positions,Ariana Grande,23-Oct-20,29-Oct-20,2,41.5
Dakiti,Bad BunnyfeaturingJhay Cortez,30-Oct-20,12-Nov-20,6,47.7
All I Want for Christmas Is You(2),Mariah Carey,01-Nov-94,24-Dec-20,1,53.4
Dakiti(2),Bad BunnyfeaturingJhay Cortez,30-Oct-20,31-Dec-20,2,32.9
Drivers License ‡,Olivia Rodrigo,08-Jan-21,14-Jan-21,10,50
Peaches,Justin BieberfeaturingDaniel CaesarandGiveon,19-Mar-21,25-Mar-21,3,48
Montero (Call Me by Your Name),Lil Nas X,26-Mar-21,15-Apr-21,5,49.4
Good 4 U,Olivia Rodrigo,14-May-21,20-May-21,7,63.2
Beggin',Måneskin,08-Dec-17,08-Jul-21,4,51
Stay,The Kid LaroifeaturingJustin Bieber,09-Jul-21,05-Aug-21,11,60.8
Easy on Me,Adele,15-Oct-21,21-Oct-21,4,57.2
All Too Well (10 Minute Version),Taylor Swift,12-Nov-21,18-Nov-21,1,41.9
Easy on Me(2),Adele,15-Oct-21,25-Nov-21,3,44.8
ABCDEFU,Gayle,13-Aug-21,16-Dec-21,1,34.4
All I Want for Christmas Is You(3),Mariah Carey,01-Nov-94,23-Dec-21,2,40.1
Stay(2),The Kid LaroifeaturingJustin Bieber,09-Jul-21,06-Jan-22,1,32.3
ABCDEFU(2),Gayle,13-Aug-21,13-Jan-22,2,31.8
Heat Waves,Glass Animals,29-Jun-20,27-Jan-22,10,30.7
As It Was ‡,Harry Styles,01-Apr-22,07-Apr-22,9,65.2
Running Up That Hill (A Deal with God),Kate Bush,05-Aug-85,09-Jun-22,1,57.2
As It Was ‡(2),Harry Styles,01-Apr-22,16-Jun-22,1,52.7
Glimpse of Us,Joji,10-Jun-22,23-Jun-22,1,57.4
As It Was ‡(3),Harry Styles,01-Apr-22,30-Jun-22,1,48.1
Running Up That Hill (A Deal with God)(2),Kate Bush,05-Aug-85,07-Jul-22,2,47.9
"Quevedo: Bzrp Music Sessions, Vol. 52",BizarrapfeaturingQuevedo,06-Jul-22,15-Jul-22,9,45.9
Shut Down,Blackpink,16-Sep-22,22-Sep-22,1,39.2
Unholy,Sam SmithfeaturingKim Petras,22-Sep-22,29-Sep-22,4,51.8
Anti-Hero,Taylor Swift,21-Oct-22,27-Oct-22,3,63.9
Unholy(2),Sam SmithfeaturingKim Petras,22-Sep-22,17-Nov-22,3,41
All I Want for Christmas Is You(4),Mariah Carey,01-Nov-94,08-Dec-22,4,46.2
Kill Bill,SZA,09-Dec-22,05-Jan-23,2,44.4
Flowers ‡,Miley Cyrus,13-Jan-23,19-Jan-23,7,83.5
TQG,Karol GfeaturingShakira,24-Feb-23,09-Mar-23,1,57.1
Flowers ‡(2),Miley Cyrus,13-Jan-23,16-Mar-23,5,47.3
Ella Baila Sola,Eslabon ArmadofeaturingPeso Pluma,17-Mar-23,20-Apr-23,2,50.2
Un x100to,Grupo FronterafeaturingBad Bunny,17-Apr-23,04-May-23,2,53.2
Ella Baila Sola(2),Eslabon ArmadofeaturingPeso Pluma,17-Mar-23,18-May-23,7,43
Vampire,Olivia Rodrigo,30-Jun-23,06-Jul-23,1,52
Lala,Myke Towers,23-Mar-23,13-Jul-23,1,39.4
Seven,JungkookfeaturingLatto,14-Jul-23,20-Jul-23,8,63.9
Paint the Town Red,Doja Cat,04-Aug-23,14-Sep-23,4,52.1
Seven(2),JungkookfeaturingLatto,14-Jul-23,12-Oct-23,1,43.2
Monaco,Bad Bunny,13-Oct-23,19-Oct-23,1,50
Si No Estás,Iñigo Quintero,23-Sep-22,26-Oct-23,1,40
Is It Over Now?,Taylor Swift,27-Oct-23,02-Nov-23,1,44.8
Standing Next to You,Jungkook,03-Nov-23,09-Nov-23,1,39.2
Greedy,Tate McRae,15-Sep-23,16-Nov-23,3,38.4
All I Want for Christmas Is You(5),Mariah Carey,01-Nov-94,07-Dec-23,4,56.1
Greedy(2),Tate McRae,15-Sep-23,04-Jan-24,1,33.9
La Diabla,Xavi,30-Nov-23,11-Jan-24,1,34.2
"Yes, And?",Ariana Grande,12-Jan-24,18-Jan-24,1,53.9
La Diabla(2),Xavi,30-Nov-23,25-Jan-24,3,37.9
Beautiful Things,Benson Boone,18-Jan-24,15-Feb-24,4,43.4
We Can't Be Friends (Wait for Your Love),Ariana Grande,08-Mar-24,14-Mar-24,2,58
Beautiful Things(2)#,Benson Boone,18-Jan-24,28-Mar-24,2,54.7
